CVE_ID,Published,CVSS,Severity,Vendor,Product,Description,VulnStatus,PubDate,DaysOld,KnownExploited,RiskScore,RiskTier
CVE-2026-35273,2026-06-11 04:16:53.680000+00:00,9.8,CRITICAL,Oracle,Peoplesoft Enterprise Peopletools,"Vulnerability in the PeopleSoft Enterprise PeopleTools product of Oracle PeopleSoft (component: Updates Environment Management). Supported versions that are affected are 8.61 and 8.62. Easily exploitable vulnerability allows unauthenticated attacker with network access via HTTP to compromise PeopleSoft Enterprise PeopleTools. Successful attacks of this vulnerability can result in takeover of PeopleSoft Enterprise PeopleTools. CVSS 3.1 Base Score 9.8 (Confidentiality, Integrity and Availability impacts). CVSS Vector: (CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H).",Analyzed,2026-06-11,2.76499721193287,True,97.03,Immediate Action
CVE-2026-10520,2026-06-09 16:16:35.700000+00:00,10.0,CRITICAL,Ivanti,Standalone Sentry,"An OS Command Injection vulnerability in Ivanti Sentry before the R10.5.2, R10.6.2 and R10.7.1 versions allows a remote unauthenticated user to achieve root-level remote code execution",Analyzed,2026-06-09,4.265205313784722,True,96.95,Immediate Action
CVE-2026-50751,2026-06-08 12:16:32.367000+00:00,9.3,CRITICAL,Checkpoint,Gaia Os,A logic flow weakness in Remote Access and Mobile Access certificate validation in deprecated IKEv1 key exchange allows an unauthenticated remote attacker to bypass user authentication and establish a remote access VPN connection without a valid user password.,Analyzed,2026-06-08,5.431910556840278,True,92.62,Immediate Action
CVE-2026-11645,2026-06-09 00:16:47.370000+00:00,8.8,HIGH,Google,Chrome,Out of bounds read and write in V8 in Google Chrome prior to 149.0.7827.103 allowed a remote attacker to execute arbitrary code inside a sandbox via a crafted HTML page. (Chromium security severity: High),Analyzed,2026-06-09,4.9317369110069444,True,90.48,Immediate Action
CVE-2026-48027,2026-05-27 17:16:41.787000+00:00,9.8,CRITICAL,Nx,Nx Console,"Nx Console is the user interface for Nx & Lerna. On 19 May 2026, a malicious version of Nx Console, 18.95.0, was published at 12:30 PM UTC and removed soon after at 12:48 PM UTC, leaving it available for ~18 minutes in Visual Studio Marketplace. For OpenVSX, the problem was detected later, and the compromised version was available from 12:33 UTC to 13:09 UTC (~36 minutes). Version 18.100.0 of Nx Console is not compromised and users may remediate by upgrading to that version.",Analyzed,2026-05-27,17.223468195729165,True,86.7,Immediate Action
CVE-2026-45247,2026-05-26 15:16:39.263000+00:00,9.8,CRITICAL,Mirasvit,Full Page Cache Warmer,Mirasvit Full Page Cache Warmer for Magento 2 before version 1.11.12 contains a PHP object injection vulnerability that allows unauthenticated attackers to achieve remote code execution by supplying a crafted serialized PHP object in the CacheWarmer cookie. Attackers can exploit the unrestricted call to PHP's native unserialize() function combined with gadget chains available in Magento and its dependencies to execute arbitrary code on the server.,Analyzed,2026-05-26,18.30683074202546,True,85.92,Immediate Action
CVE-2025-48595,2026-06-01 22:16:18.093000+00:00,8.4,HIGH,Google,Android,"In multiple locations, there is a possible way to achieve code execution due to an integer overflow. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",Analyzed,2026-06-01,12.015409098506945,True,83.42,Critical
CVE-2026-20245,2026-06-04 23:17:31.763000+00:00,7.8,HIGH,Cisco,Catalyst Sd-Wan Manager,"A vulnerability in the CLI of Cisco Catalyst SD-WAN Controller, formerly SD-WAN vSmart, Cisco Catalyst SD-WAN Manager, formerly SD-WAN vManage, and Cisco Catalyst SD-WAN Validator, formerly SD-WAN vBond, could allow an authenticated, local attacker to execute arbitrary commands as root by supplying a crafted file to the affected system.

This vulnerability is due to insufficient validation of user-supplied input. An attacker could exploit this vulnerability by uploading a crafted file to the affected system. A successful exploit could allow the attacker to perform command injection attacks on an affected system and elevate their privileges as the root user.&nbsp;
To exploit this vulnerability, the attacker must have netadmin privileges on the affected system. This would require valid credentials or exploitation of  or . Cisco is not aware of successful exploitation by other methods. Cisco has observed limited cases where the exploitation of this bug resulted in a configuration change pushed to edge devices.
Cisco recommends that customers upgrade to the fixed software that is documented in the  that was published on May 14, 2026, and verify the configuration of the edge devices.",Analyzed,2026-06-04,8.97288976980324,True,82.59,Critical
CVE-2026-28318,2026-06-04 15:16:50.407000+00:00,7.5,HIGH,Solarwinds,Serv-U,SolarWinds Serv-U is susceptible to specially crafted POST requests that crash the Serv-U service without authentication using Content-Encoding: deflate. Mitigation steps are provided to secure customer environments in the SolarWinds Trust Center if you are unable to deploy the update,Analyzed,2026-06-04,9.306701760543982,True,80.85,Critical
CVE-2026-7473,2026-06-05 17:17:02.850000+00:00,5.8,MEDIUM,Arista,Eos,"On affected platforms running Arista EOS where a tunnel decapsulation configuration—such as VXLAN (Virtual Extensible LAN), decap-groups, or a GRE (Generic Routing Encapsulation) tunnel interface—is present, the switch will incorrectly decapsulate and forward other unexpected tunneled packet with a destination IP matching its configured decapsulation IP. This occurs because the switch does not verify the tunnel protocol type, potentially leading to the unexpected processing of non-configured tunnel traffic.



This issue has been reported as being exploited in the wild.",Analyzed,2026-06-05,8.223224411006944,True,73.13,Critical
CVE-2026-48558,2026-06-12 18:16:35.317000+00:00,10.0,CRITICAL,Unknown,Unknown,"SimpleHelp versions 5.5.15 and prior and 6.0 pre-release versions contain an authentication bypass vulnerability in the OIDC authentication flow. When OIDC authentication is configured, identity tokens submitted during login are accepted without verifying their cryptographic signature. In a vulnerable configuration, a remote, unauthenticated attacker can submit a forged token containing arbitrary identity claims to obtain a fully authenticated technician session. In some configurations, this may also allow bypass of multi-factor authentication. No user interaction is required.",Received,2026-06-12,1.1818764133217594,False,64.16,High
